8259,castle laser tag,snack bar/concession stand,2016-05-11T00:00:00.000,------,20720,14201 woodcliff ct,cherie hope
2362,upper marlboro xtra fuel,gas station store,2016-05-11T00:00:00.000,compliant - no health risk,20772,15009 marlboro pike,ashish thakore
733,silvestre express,carry-out,2016-05-12T00:00:00.000,------,20746,4810 silver hill rd,pablo prudencio
966,medstar southern maryland hospital,health care facility,2016-05-12T00:00:00.000,------,20735,7503 surratts rd,christine wray
216,burger king 10792,fast food,2016-05-12T00:00:00.000,compliant - no health risk,20745,5141 indian head hwy,louis henry
136,buffalo wild wings,full service,2016-05-12T00:00:00.000,compliant - no health risk,20740,10240 baltimore ave,john weiler
590,glenridge elementary school,public school,2016-05-12T00:00:00.000,------,20784,7200 gallatin st,mark fossett
993,victory kitchen catering,carry-out,2016-05-12T00:00:00.000,------,20785,7323 landover rd,bosede adekanmi
27,american legion greenbelt post 136,private club,2016-05-12T00:00:00.000,critical violations observed,20770,6900 greenbelt rd,mike moore
252,cedar hill inn restaurant & bar,bar/tavern/lounge,2016-05-12T00:00:00.000,------,20746,4400 suitland rd,kyung seo
851,ledo pizza,carry-out,2016-05-12T00:00:00.000,------,20785,6510 landover rd,momodou cham
524,forest heights elementary school,public school,2016-05-12T00:00:00.000,compliant - no health risk,20745,200 talbert dr,mark fossett
948,krispy krunchy chicken (dba),gas station store,2016-05-12T00:00:00.000,critical violations observed,20772,5111 john rogers blvd,athar chaudhry
2149,residence inn inglewood,full service,2016-05-12T00:00:00.000,compliant - health risk,20774,1330 caraway ct,gary tharaldson
1363,shoppers food 52035 (2353),grocery store,2016-05-12T00:00:00.000,compliance schedule - outstanding,20774,806 largo center dr,chad ferguson
1805,cold stone creamery,fast food,2016-05-12T00:00:00.000,compliant - no health risk,20774,880 capital centre blvd,keikhosrow dastani
1533,teppanyaki grill supreme buffet,full service,2016-05-12T00:00:00.000,critical violations observed,20707,14150 baltimore ave,zhi song gao
1862,edgar a poe alternative school,public school,2016-05-12T00:00:00.000,compliant - no health risk,20746,2001 shadyside ave,michael dodson
1627,vietnam one,full service,2016-05-12T00:00:00.000,compliant - no health risk,20705,11000 baltimore ave,truong phan
1431,subway,fast food,2016-05-12T00:00:00.000,------,20784,8445 annapolis rd,kamran youssefieh
2089,new york fried chicken,carry-out,2016-05-12T00:00:00.000,------,20747,7621 marlboro pike,mohammad raza
1316,sarku japan teriyaki & sushi express,full service,2016-05-12T00:00:00.000,critical violations observed,20740,10280 baltimore ave,david becker
1831,domino's pizza 4657,carry-out,2016-05-12T00:00:00.000,------,20774,796 harry s truman dr,mary lynne carraway
1189,presidential deli,deli,2016-05-12T00:00:00.000,compliant - no health risk,20772,8903 presidential pkwy,kwang h choe
2227,seven eleven 11657b,convenience store,2016-05-12T00:00:00.000,------,20785,6001 arbor st,geremew dawit
7551,ace sushi @ safeway 2795,n/a,2016-05-12T00:00:00.000,critical violations observed,20772,7605 crain hwy,harlain chin
3193,galilee baptist church,n/a,2016-05-12T00:00:00.000,------,20746,2101 shadyside ave,lloyd mcgriff
8151,america's best wings,fast food,2016-05-12T00:00:00.000,------,20715,15500 annapolis rd,hyun park
2376,william beanes elementary school,public school,2016-05-12T00:00:00.000,compliant - no health risk,20746,5108 dianna dr,mark fossett
55,arbys,fast food,2016-05-13T00:00:00.000,critical violations observed,20772,4800 crain hwy,paul brown
80,babe's boys tavern,bar/tavern/lounge,2016-05-13T00:00:00.000,critical violations observed,20772,15903 marlboro pike,pj wilson
1367,shoppers food 52034 (2352),grocery store,2016-05-13T00:00:00.000,compliant - no health risk,20785,7051 martin luther king jr hwy,chad ferguson
7514,super japan,full service,2016-05-13T00:00:00.000,critical violations observed,20770,6096 greenbelt rd,yautao gao
8248,2nd grace catering,catering only,2016-05-13T00:00:00.000,------,20770,15 crescent rd,herberta jones
8123,fransar catering services,catering only,2016-05-13T00:00:00.000,------,20720,14207 old annapolis rd,francis otoo
426,eastern 88,carry-out,2016-05-16T00:00:00.000,------,20735,8791 branch ave,justine chen
530,fort washington forest elementary school,public school,2016-05-16T00:00:00.000,critical violations observed,20744,1300 fillmore rd,mark fossett
948,krispy krunchy chicken (dba),gas station store,2016-05-16T00:00:00.000,critical violations observed,20772,5111 john rogers blvd,athar chaudhry
23,american buffalo wings & fish,carry-out,2016-05-16T00:00:00.000,critical violations observed,20748,7075 allentown rd,kyung kim
544,friendly market gmd friendly inc,convenience store,2016-05-16T00:00:00.000,critical violations observed,20744,11500 old fort rd,shoukat choudhry
745,jerry's subs & pizza,fast food,2016-05-16T00:00:00.000,critical violations observed,20747,5414 silver hill rd,carnell newkirk
80,babe's boys tavern,bar/tavern/lounge,2016-05-16T00:00:00.000,compliant - no health risk,20772,15903 marlboro pike,pj wilson
40,americas best wings & burger,fast food,2016-05-16T00:00:00.000,critical violations observed,20747,5422 silver hill rd,naser ahmed
693,ihop,full service,2016-05-16T00:00:00.000,------,20743,9003 central ave,geoffrey trout
469,el taco azteca,bar/tavern/lounge,2016-05-16T00:00:00.000,------,20781,5014 edmonston rd,irma osorio
55,arbys,fast food,2016-05-16T00:00:00.000,compliant - no health risk,20772,4800 crain hwy,paul brown
303,china cafe,carry-out,2016-05-16T00:00:00.000,critical violations observed,20748,7095 allentown rd,yu chen
490,fannon hall - saint ambrose church,church/temple/mosque,2016-05-16T00:00:00.000,------,20785,6310 jason st,rev kevin kennedy
222,cafe continental,carry-out,2016-05-16T00:00:00.000,critical violations observed,20770,6404 ivy ln,dong kim
997,moose creek steakhouse,full service,2016-05-16T00:00:00.000,critical violations observed,20740,10000 baltimore ave,pitush patel
18,subway,fast food,2016-05-16T00:00:00.000,critical violations observed,20748,7071 allentown rd,iqbal hassan
1661,wendys 6507,fast food,2016-05-16T00:00:00.000,------,20735,8907 woodyard rd,james schwartz
1517,taqueria la placita,full service,2016-05-16T00:00:00.000,critical violations observed,20781,5020 edmonston rd,alejo martinez
1665,wendys 6609,fast food,2016-05-16T00:00:00.000,------,20743,8715 central ave,james schwartz
1693,amc theatres academy 8,snack bar/concession stand,2016-05-16T00:00:00.000,facility closed,20770,6198 greenbelt rd,adam aron
2007,los amigos latin market,grocery store,2016-05-16T00:00:00.000,critical violations observed,20740,5003 greenbelt rd,raul lucero
1236,remington's restaurant,full service,2016-05-16T00:00:00.000,critical violations observed,20705,11500 baltimore ave,inci kantar
1517,taqueria la placita,full service,2016-05-16T00:00:00.000,------,20781,5020 edmonston rd,alejo martinez
1092,panda express 1501,fast food,2016-05-16T00:00:00.000,critical violations observed,20747,5510 silver hill rd,lindy imla
2239,seven eleven 29720b,convenience store,2016-05-16T00:00:00.000,------,20782,2000 east west hwy,elias woldu
2283,starbucks coffee 10601,coffee shop,2016-05-16T00:00:00.000,------,20735,8919 woodyard rd,mary her
7551,ace sushi @ safeway 2795,n/a,2016-05-16T00:00:00.000,compliant - no health risk,20772,7605 crain hwy,harlain chin
435,tasty carry out,carry-out,2016-05-17T00:00:00.000,compliant - no health risk,20745,4915 indian head hwy,raja shaukat
419,duval high school,public school,2016-05-17T00:00:00.000,critical violations observed,20706,9880 good luck rd,mark fossett
571,giant food store 347,grocery store,2016-05-17T00:00:00.000,------,20774,10480 campus way south,sheri-su breski
838,la cocina de mi tierra,carry-out,2016-05-17T00:00:00.000,------,20746,4706 suitland rd,nicolas rodriguez
882,lenny's carryout,carry-out,2016-05-17T00:00:00.000,critical violations observed,20785,7401 landover rd,dong chen
948,krispy krunchy chicken (dba),gas station store,2016-05-17T00:00:00.000,critical violations observed,20772,5111 john rogers blvd,athar chaudhry
566,gaywood elementary school,public school,2016-05-17T00:00:00.000,------,20706,6701 97th ave,mark fossett
435,tasty carry out,carry-out,2016-05-17T00:00:00.000,------,20745,4915 indian head hwy,raja shaukat
332,church king buffet,full service,2016-05-17T00:00:00.000,facility closed,20774,10644 campus way south,zhen lan
1236,remington's restaurant,full service,2016-05-17T00:00:00.000,compliance schedule - completed,20705,11500 baltimore ave,inci kantar
1421,subway 815,fast food,2016-05-17T00:00:00.000,critical violations observed,20746,6716 suitland rd,vikie agrawal
1524,target store t-1295,grocery store,2016-05-17T00:00:00.000,------,20770,6100 greenbelt rd,janine brown
1528,tayac elementary school,public school,2016-05-17T00:00:00.000,compliant - no health risk,20744,8600 allentown rd,mark fossett
1251,robert goddard montessori school,public school,2016-05-17T00:00:00.000,critical violations observed,20706,9850 good luck rd,mark fossett
1424,subway,fast food,2016-05-17T00:00:00.000,compliant - no health risk,20746,4628 suitland rd,mohammad hannan
1849,dunkin donuts,fast food,2016-05-17T00:00:00.000,------,20912,6851 new hampshire ave,sameer ailawadi
2012,maryland seafood & crab,carry-out,2016-05-17T00:00:00.000,critical violations observed,20722,3751 bladensburg rd,jong lee
1656,wendys 6522,fast food,2016-05-17T00:00:00.000,critical violations observed,20912,6823 new hampshire ave,james schwartz
1693,amc theatres academy 8,snack bar/concession stand,2016-05-17T00:00:00.000,------,20770,6198 greenbelt rd,adam aron
1320,seabrook elementary school,public school,2016-05-17T00:00:00.000,------,20706,6001 seabrook rd,mark fossett
1467,subway sandwich shop,fast food,2016-05-17T00:00:00.000,------,20770,6094 greenbelt rd,kamran youssefieh
2127,pizza hut 23541,carry-out,2016-05-17T00:00:00.000,------,20785,7009 martin luther king jr hwy,donald harty
2324,tienda karina spanish market,carry-out,2016-05-17T00:00:00.000,critical violations observed,20746,4702 suitland rd,jose lopez
2286,starbucks coffee 7816,coffee shop,2016-05-17T00:00:00.000,compliant - no health risk,20774,10586 campus way south,mary her
920,magnolia elementary school,public school,2016-05-18T00:00:00.000,------,20706,8400 nightingale dr,mark fossett
969,metro cafe,carry-out,2016-05-18T00:00:00.000,critical violations observed,20785,8240 professional pl,chung park
332,church king buffet,full service,2016-05-18T00:00:00.000,------,20774,10644 campus way south,zhen lan
548,feelin' crabby,carry-out,2016-05-18T00:00:00.000,------,20743,569 ritchie rd,warren tsamouras
1780,capital sports plex,snack bar/concession stand,2016-05-18T00:00:00.000,------,20769,10011 good luck rd,robin bailey
1392,six flags america - coral reef cafe,stadium/amusement park,2016-05-18T00:00:00.000,compliant - no health risk,20721,13710 central ave,rick howarth
2159,rita's italian ices 426,ice cream,2016-05-18T00:00:00.000,------,20715,3329 superior ln,beenish bhatia
1787,catherine t reed elementary school,public school,2016-05-18T00:00:00.000,------,20706,9501 greenbelt rd,mark fossett
2268,six flags america - hurricane hot dogs,stadium/amusement park,2016-05-18T00:00:00.000,------,20721,13710 central ave,rick howarth
6505,fireman's cafe llc,carry-out,2016-05-18T00:00:00.000,------,20735,9101 kinney pl,rodney taylor
2852,six flags america - hurricane funnel cakes,stadium/amusement park,2016-05-18T00:00:00.000,compliant - no health risk,20721,13710 central ave,rick howarth
2270,six flags america - go fresh cafe,stadium/amusement park,2016-05-18T00:00:00.000,------,20721,13710 central ave,rick howarth
2265,six flags america - calypso's,stadium/amusement park,2016-05-18T00:00:00.000,compliant - no health risk,20721,13710 central ave,rick howarth
2241,seven eleven 11728e,convenience store,2016-05-18T00:00:00.000,critical violations observed,20785,7206 sheriff rd,gagandeep suri
2332,turning point academy public charter school,public school,2016-05-18T00:00:00.000,------,20706,7800 good luck rd,mark fossett
6587,six flags america - waterpark coke kiosk,stadium/amusement park,2016-05-18T00:00:00.000,compliant - no health risk,20721,13710 central ave,rick howarth
548,feelin' crabby,carry-out,2016-05-19T00:00:00.000,------,20743,569 ritchie rd,warren tsamouras
948,krispy krunchy chicken (dba),gas station store,2016-05-19T00:00:00.000,compliant - no health risk,20772,5111 john rogers blvd,athar chaudhry
659,high point high school,public school,2016-05-19T00:00:00.000,critical violations observed,20705,3601 powder mill rd,mark fossett
548,feelin' crabby,carry-out,2016-05-19T00:00:00.000,------,20743,569 ritchie rd,warren tsamouras
